title,location,price,area_sqft,price_per_sqft
"Residential Land / Plot in Sangareddy, Hyderabad",Sangareddy,3200000,2250,1422
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,4400000,3600,1222
"Residential Land / Plot in Aroor, Hyderabad",Aroor,3600000,1476,2439
"Residential Land / Plot in Kompally, Hyderabad",Kompally,4500000,1350,3333
"Residential Land / Plot in Keesara, Hyderabad",Keesara,2900000,1980,1444
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,2400000,1323,1778
"Residential Land / Plot in Adibatla, Hyderabad",Adibatla,3200000,1620,2000
"Residential Land / Plot in Nandi Kandi, Hyderabad",Nandi Kandi,4800000,1980,2444
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,3000000,1800,1667
"Residential Land / Plot in Shankarpalle Rangareddy, Hyderabad",Shankarpalle Rangareddy,13000000,9000,1444
"Residential Land / Plot in Lingareddyguda Shadnagar, Hyderabad",Lingareddyguda Shadnagar,4000000,1800,2222
"Residential Land / Plot in Gundlapochampally, Outer Ring Road, Hyderabad",Gundlapochampally,13900000,2637,5271
"Residential Land / Plot in Timmapur, Hyderabad",Timmapur,30000000,7200,4167
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,6600000,1629,4052
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,8800000,3159,2770
"Residential Land / Plot in Maheswaram Lines, Chandrayangutta, Srisailam Highway, Hyderabad",Maheswaram Lines,1600000,1008,1587
"Residential Land / Plot in Lakudaram, Hyderabad",Lakudaram,3000000,1647,1821
"Residential Land / Plot in Shadnagar Bypass Road, Hyderabad",Shadnagar Bypass Road,3800000,1350,2778
"Residential Land / Plot in Srisailam Highway, Hyderabad",Srisailam Highway,4000000,1800,2222
"Residential Land / Plot in Zahirabad, Hyderabad",Zahirabad,2200000,1575,1381
"Residential Land / Plot in Appa Junction Area, Hyderabad",Appa Junction Area,61200000,5004,12222
"Residential Land / Plot in Alair, Hyderabad",Alair,2000000,1485,1333
"Residential Land / Plot in Dulapally, Hyderabad",Dulapally,35700000,2925,12222
"Residential Land / Plot in Farooqnagar, Hyderabad",Farooqnagar,5000000,1737,2879
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,2800000,1503,1889
"Residential Land / Plot in Shankarpalle, Hyderabad",Shankarpalle,17100000,4050,4227
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3200000,1800,1778
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4500000,1980,2297
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,4200000,1503,2778
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,6100000,3240,1889
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3000000,1485,2020
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3700000,1800,2055
Plot/Land for Sale in Chalapathi paradise Hyderabad,Chalapathi paradise Hyderabad,3600000,1800,2000
Plot/Land for Sale in Ravindra Nagar Habsiguda Hyderabad,Ravindra Nagar Habsiguda Hyderabad,55000000,5580,9857
Plot/Land for Sale in Majidpur Road Hyderabad,Majidpur Road Hyderabad,3000000,1800,1667
Plot/Land for Sale in Mumbai Highway Hyderabad,Mumbai Highway Hyderabad,3700000,1800,2056
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,6000000,1800,3333
Plot/Land for Sale in Himayatnagar Moinabad Hyderabad,Himayatnagar Moinabad Hyderabad,22400000,7200,3111
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2500000,1314,1903
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2600000,1800,1444
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,12500000,2403,5202
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2400000,1467,1667
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,21000000,2313,9079
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3200000,1485,2155
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,8000000,1800,4444
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,6000000,2250,2667
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,14000000,4500,3111
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2000000,1197,1671
Plot/Land for Sale in Keshampet Hyderabad,Keshampet Hyderabad,1900000,1323,1436
Plot/Land for Sale in Korremula Hyderabad,Korremula Hyderabad,10700000,2403,4453
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3400000,1800,1889
Plot/Land for Sale in Chennaram Hyderabad,Chennaram Hyderabad,2000000,1638,1248
Plot/Land for Sale in Lakdaram Hyderabad,Lakdaram Hyderabad,11200000,3600,3111
"Plot/Land for Sale in TPS Colony, Secunderabad Hyderabad",TPS Colony,8500000,2404,3536
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3200000,1467,2167
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3600000,1647,2186
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,2500000,1908,1310
Plot/Land for Sale in Mirzapur Zaheerabad Hyderabad,Mirzapur Zaheerabad Hyderabad,2400000,1503,1611
Plot/Land for Sale in Kandi Hyderabad,Kandi Hyderabad,4000000,1503,2667
Plot/Land for Sale in Bhanur Hyderabad,Bhanur Hyderabad,11000000,3429,3208
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,5400000,1350,4000
"Plot/Land for Sale in Annaram, Nagole Hyderabad",Annaram,3000000,1800,1667
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,23300000,3492,6667
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,3100000,2160,1444
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,16900000,3915,4317
Plot/Land for Sale in Nandigama Kothur Hyderabad,Nandigama Kothur Hyderabad,8000000,3204,2497
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,4800000,2403,2000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,6600000,2583,2555
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,28000000,3150,8889
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,14800000,1800,8222
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,4000000,1800,2222
Plot/Land for Sale in Shankarpally Road Hyderabad,Shankarpally Road Hyderabad,5300000,1980,2677
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,5000000,2250,2222
Plot/Land for Sale in Choutuppal Hyderabad,Choutuppal Hyderabad,3800000,2160,1759
Plot/Land for Sale in Kondakal Shankarpally Road Hyderabad,Kondakal Shankarpally Road Hyderabad,8000000,2151,3719
"Plot/Land for Sale in Bolarum, Medchal Road Hyderabad",Bolarum,9300000,1197,7746
Plot/Land for Sale in Dammaiguda Hyderabad,Dammaiguda Hyderabad,14000000,3600,3889
Plot/Land for Sale in Ameerpet Hyderabad,Ameerpet Hyderabad,6500000,2403,2705
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,5300000,1800,2944
Plot/Land for Sale in Mettakanigudem Hyderabad,Mettakanigudem Hyderabad,17700000,2376,7449
Plot/Land for Sale in Rangapur Shadnagar Hyderabad,Rangapur Shadnagar Hyderabad,3600000,2640,1364
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,1500000,1098,1366
Plot/Land for Sale in SriSialam Highway Hyderabad,SriSialam Highway Hyderabad,7400000,5760,1278
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,36000000,7200,5000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1600000,1350,1222
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2200000,1305,1686
Plot/Land for Sale in Farooqnagar Hyderabad,Farooqnagar Hyderabad,2500000,1800,1389
Plot/Land for Sale in Pocharam Patancheruvu Hyderabad,Pocharam Patancheruvu Hyderabad,9000000,1800,5000
"Plot/Land for Sale in TPS Colony, Secunderabad Hyderabad",TPS Colony,9100000,2400,3782
Plot/Land for Sale in Cherlapalli Hyderabad,Cherlapalli Hyderabad,6500000,1350,4778
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,5200000,1800,2889
Plot/Land for Sale in Meerkhanpet Hyderabad,Meerkhanpet Hyderabad,3600000,1800,2000
Plot/Land for Sale in Mokila Hyderabad,Mokila Hyderabad,15900000,2403,6627
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,5000000,1494,3333
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2400000,1350,1778
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,4500000,1350,3333
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,4500000,1350,3333
Plot/Land for Sale in Pocharam Patancheruvu Hyderabad,Pocharam Patancheruvu Hyderabad,6600000,1422,4667
Plot/Land for Sale in Narepally Hyderabad,Narepally Hyderabad,13800000,2835,4868
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,5600000,1800,3111
Plot/Land for Sale in Pati Hyderabad,Pati Hyderabad,12500000,2700,4630
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,4000000,1800,2222
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,7000000,2200,3182
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2500000,1854,1348
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,4800000,2700,1778
Plot/Land for Sale in Athvelly Hyderabad,Athvelly Hyderabad,16800000,3303,5086
Plot/Land for Sale in Budhera Hyderabad,Budhera Hyderabad,2500000,1800,1389
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,3600000,1800,2000
Plot/Land for Sale in Old Alwal Hyderabad,Old Alwal Hyderabad,8000000,1080,7407
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,14000000,10800,1296
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,5000000,2997,1667
Plot/Land for Sale in Jubilee Hills Hyderabad,Jubilee Hills Hyderabad,80000000,3600,22222
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2600000,1215,2111
Plot/Land for Sale in Sangyam Hyderabad,Sangyam Hyderabad,2500000,1485,1684
Plot/Land for Sale in Ankushapur Hyderabad,Ankushapur Hyderabad,3300000,2700,1222
"Plot/Land for Sale in Raviryal, Outer Ring Road Hyderabad",Raviryal,6000000,1800,3333
Plot/Land for Sale in Budhera Hyderabad,Budhera Hyderabad,7500000,6552,1145
Plot/Land for Sale in Kandwada Village Road Hyderabad,Kandwada Village Road Hyderabad,4500000,2700,1667
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,2500000,2160,1157
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,4400000,1800,2444
Plot/Land for Sale in Shankarpalli Hyderabad Road Hyderabad,Shankarpalli Hyderabad Road Hyderabad,4000000,1620,2444
Plot/Land for Sale in Shankarpalli Mominpet Road Hyderabad,Shankarpalli Mominpet Road Hyderabad,3600000,2250,1600
Plot/Land for Sale in Gurram Guda Hyderabad,Gurram Guda Hyderabad,6000000,1548,3876
Plot/Land for Sale in Kondapur Hyderabad,Kondapur Hyderabad,8100000,1953,4163
Plot/Land for Sale in Jillelagadda Hyderabad,Jillelagadda Hyderabad,19900000,2484,8000
Plot/Land for Sale in Pochampalle Hyderabad,Pochampalle Hyderabad,3000000,2700,1111
Plot/Land for Sale in Kapra Hyderabad,Kapra Hyderabad,14000000,2142,6536
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,8000000,1800,4444
Plot/Land for Sale in Railapur Hyderabad,Railapur Hyderabad,6000000,1800,3333
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,3400000,1800,1889
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,12000000,1800,6667
"Plot/Land for Sale in Dundigal, Outer Ring Road Hyderabad",Dundigal,12000000,3600,3333
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,3600000,1350,2667
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,3800000,1800,2111
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,3200000,1800,1778
"Plot/Land for Sale in Kollur, Outer Ring Road Hyderabad",Kollur,20000000,2403,8333
Plot/Land for Sale in Pulumamidi Hyderabad,Pulumamidi Hyderabad,2400000,2178,1111
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,8300000,2142,3875
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,3700000,1494,2444
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4900000,1998,2444
"Plot/Land for Sale in Kollur, Outer Ring Road Hyderabad",Kollur,6200000,1350,4556
"Plot/Land for Sale in Kollur, Outer Ring Road Hyderabad",Kollur,13300000,2403,5535
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,5100000,1980,2556
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2400000,1647,1444
Plot/Land for Sale in Choutapally Hyderabad,Choutapally Hyderabad,3000000,1503,1963
Plot/Land for Sale in Athvelly Hyderabad,Athvelly Hyderabad,11200000,2403,4661
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,4700000,2403,1956
Plot/Land for Sale in Lalgadi Malakpet Hyderabad,Lalgadi Malakpet Hyderabad,18000000,10500,1714
Plot/Land for Sale in Talakondapalle Hyderabad,Talakondapalle Hyderabad,1800000,1485,1212
Plot/Land for Sale in nandhi Kandi Hyderabad,nandhi Kandi Hyderabad,3100000,1485,2088
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,4800000,1674,2889
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,4500000,1629,2778
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,7500000,4779,1569
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2900000,1323,2167
"Plot/Land for Sale in Bongloor, Outer Ring Road Hyderabad",Bongloor,4800000,1620,2963
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,5600000,1647,3400
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,1500000,1485,1010
Plot/Land for Sale in Digwal Hyderabad,Digwal Hyderabad,3200000,1800,1778
Plot/Land for Sale in Agapally Hyderabad,Agapally Hyderabad,4000000,1800,2222
Plot/Land for Sale in Mangalpally Hyderabad,Mangalpally Hyderabad,15000000,7200,2083
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,11400000,2700,4222
Plot/Land for Sale in Machanpalle Shabad Hyderabad,Machanpalle Shabad Hyderabad,8100000,2700,3000
"Plot/Land for Sale in Manasa Hills, Rajendra Nagar Hyderabad",Manasa Hills,27000000,2700,10000
Plot/Land for Sale in sulthanpur jntu Hyderabad,sulthanpur jntu Hyderabad,2500000,1323,1889
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,2500000,1980,1263
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,6000000,4500,1333
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,2800000,1800,1556
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,1800000,1350,1333
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,2700000,1620,1667
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,3600000,1350,2667
Plot/Land for Sale in Gundlapochampalli Hyderabad,Gundlapochampalli Hyderabad,8500000,1350,6296
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,16100000,2124,7580
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,4000000,1998,2002
Plot/Land for Sale in Toopranpet Hyderabad,Toopranpet Hyderabad,2700000,2394,1128
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,7000000,3600,1944
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3500000,2277,1537
Plot/Land for Sale in Turkayamjal Hyderabad,Turkayamjal Hyderabad,5700000,1467,3885
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3000000,1800,1667
Plot/Land for Sale in Mirkhanpet Hyderabad,Mirkhanpet Hyderabad,3500000,1800,1944
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,9200000,1800,5111
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,3500000,1647,2125
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,1500000,1350,1111
Plot/Land for Sale in Agapally Hyderabad,Agapally Hyderabad,3800000,1800,2111
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3100000,1350,2333
Plot/Land for Sale in Keesara Daira Hyderabad,Keesara Daira Hyderabad,6500000,2340,2778
Plot/Land for Sale in Gachibowli Hyderabad,Gachibowli Hyderabad,17900000,3420,5227
Plot/Land for Sale in Rajendranagar Mandal Hyderabad,Rajendranagar Mandal Hyderabad,61900000,3375,18333
Plot/Land for Sale in Dr Raos Prakruthivanam Hyderabad,Dr Raos Prakruthivanam Hyderabad,2200000,1818,1210
Plot/Land for Sale in Sheriguda Hyderabad,Sheriguda Hyderabad,3800000,1350,2778
Plot/Land for Sale in Tirumalagiri Hyderabad,Tirumalagiri Hyderabad,37700000,3600,10472
"Plot/Land for Sale in Kokapet, Outer Ring Road Hyderabad",Kokapet,82800000,4518,18333
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2900000,1350,2148
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,7000000,1800,3889
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1400000,1320,1058
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,3600000,1170,3077
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,3900000,1800,2194
Plot/Land for Sale in Lemoor Hyderabad,Lemoor Hyderabad,7300000,3375,2167
Plot/Land for Sale in Kundanpally Hyderabad,Kundanpally Hyderabad,22400000,7200,3111
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,28000000,2700,10370
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,2400000,1800,1333
Plot/Land for Sale in Mokila Hyderabad,Mokila Hyderabad,22200000,1998,11111
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,15800000,2367,6667
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2900000,1323,2192
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,7000000,1800,3889
Plot/Land for Sale in Korremula Hyderabad,Korremula Hyderabad,6500000,1467,4444
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,5000000,1800,2778
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,12600000,2700,4667
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,9500000,4500,2111
Plot/Land for Sale in Rajendra Nagar Road Hyderabad,Rajendra Nagar Road Hyderabad,11500000,900,12778
Plot/Land for Sale in Warangal Highway Hyderabad,Warangal Highway Hyderabad,1100000,1080,1019
Plot/Land for Sale in Cheeriyal Hyderabad,Cheeriyal Hyderabad,9700000,2403,4050
Plot/Land for Sale in Chengicherla Hyderabad,Chengicherla Hyderabad,3300000,900,3667
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,3000000,1467,2045
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,19300000,5418,3556
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,6000000,2700,2222
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,3500000,1350,2556
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,10000000,4500,2222
Plot/Land for Sale in Karkalpahad Hyderabad,Karkalpahad Hyderabad,1600000,1350,1222
Plot/Land for Sale in Lemoor Hyderabad,Lemoor Hyderabad,8000000,3735,2142
Plot/Land for Sale in Meerkhanpet Hyderabad,Meerkhanpet Hyderabad,4000000,2403,1665
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,5300000,2394,2222
Plot/Land for Sale in Thimmaipalli Hyderabad,Thimmaipalli Hyderabad,30000000,11700,2564
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,7600000,2313,3286
"Plot/Land for Sale in Sun City, Bandlaguda, Chevella Road Hyderabad",Sun City,5400000,2700,2007
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,4500000,1800,2500
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,8600000,4707,1836
Plot/Land for Sale in Pedda Amberpet Hyderabad,Pedda Amberpet Hyderabad,9100000,3627,2509
Plot/Land for Sale in Pasumamla Hyderabad,Pasumamla Hyderabad,3800000,1512,2513
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2800000,1674,1673
Plot/Land for Sale in Chitkul Road Hyderabad,Chitkul Road Hyderabad,6300000,1458,4321
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,5500000,1800,3056
Plot/Land for Sale in Masaniguda Hyderabad,Masaniguda Hyderabad,2200000,1800,1222
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2100000,1575,1346
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,2100000,1503,1389
Plot/Land for Sale in Mangalpally Hyderabad,Mangalpally Hyderabad,3600000,1800,2000
Plot/Land for Sale in Chanda Nagar Hyderabad,Chanda Nagar Hyderabad,45000000,2619,17182
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,5200000,1800,2889
Plot/Land for Sale in Ameenpur Hyderabad,Ameenpur Hyderabad,20000000,2466,8110
Plot/Land for Sale in Nehru Outer Ring Road Hyderabad,Nehru Outer Ring Road Hyderabad,1800000,1503,1198
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,6500000,2340,2778
Plot/Land for Sale in Maisigandi Hyderabad,Maisigandi Hyderabad,2200000,1485,1481
Plot/Land for Sale in Narkhuda Hyderabad,Narkhuda Hyderabad,10000000,4500,2222
Plot/Land for Sale in Prakruthik Vihar Hyderabad,Prakruthik Vihar Hyderabad,11000000,1764,6236
Plot/Land for Sale in Nalthur Hyderabad,Nalthur Hyderabad,10100000,3375,3000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2600000,1251,2078
"Plot/Land for Sale in Yadamma Nagar, Secunderabad Hyderabad",Yadamma Nagar,25000000,2403,10404
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,6000000,1800,3333
"Plot/Land for Sale in Green Park, Jeedimetla, NH 7 Hyderabad",Green Park,6800000,2196,3097
Plot/Land for Sale in Edulabad Hyderabad,Edulabad Hyderabad,5700000,2160,2644
Plot/Land for Sale in Mekaguda Hyderabad,Mekaguda Hyderabad,3200000,1800,1778
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,30000000,18000,1667
Plot/Land for Sale in Bachupally Hyderabad,Bachupally Hyderabad,16500000,2700,6111
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3200000,1800,1778
Plot/Land for Sale in Bhavya shree homes Hyderabad,Bhavya shree homes Hyderabad,4300000,1503,2828
Plot/Land for Sale in MJ Colony Hyderabad,MJ Colony Hyderabad,18000000,2385,7547
Plot/Land for Sale in Balapur Hyderabad,Balapur Hyderabad,4100000,1539,2667
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,10300000,5400,1907
Plot/Land for Sale in Kundanpally Hyderabad,Kundanpally Hyderabad,31200000,10210,3057
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3500000,1647,2095
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,5500000,1503,3667
Plot/Land for Sale in Peddamangalaram Hyderabad,Peddamangalaram Hyderabad,12100000,5445,2222
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,15000000,9000,1667
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,4000000,1854,2157
Plot/Land for Sale in Muraharipally Hyderabad,Muraharipally Hyderabad,6000000,1800,3333
Plot/Land for Sale in Burgul Hyderabad,Burgul Hyderabad,2500000,1485,1667
Plot/Land for Sale in Shadnagar Chevella Road Hyderabad,Shadnagar Chevella Road Hyderabad,2000000,1440,1389
Plot/Land for Sale in Zahirabad Hyderabad,Zahirabad Hyderabad,2400000,1800,1333
