title,location,price,area_sqft,price_per_sqft
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,15000000,2160,6944
"Plot/Land for Sale in Sirka Oasis, Bhanur Hyderabad",Sirka Oasis,13200000,4167,3167
Plot/Land for Sale in Ramachandrapuram Hyderabad,Ramachandrapuram Hyderabad,13500000,1800,7500
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,3200000,2790,1143
Plot/Land for Sale in silpa dreamvalley Hyderabad,silpa dreamvalley Hyderabad,90000000,9000,10000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,2100000,1368,1500
Plot/Land for Sale in Gantlavelli Hyderabad,Gantlavelli Hyderabad,1800000,1314,1370
Plot/Land for Sale in Isnapur Indira Karan Road Hyderabad,Isnapur Indira Karan Road Hyderabad,6800000,2153,3159
Plot/Land for Sale in Vikarabad Road Hyderabad,Vikarabad Road Hyderabad,2300000,1485,1555
Plot/Land for Sale in Bogaram Hyderabad,Bogaram Hyderabad,4000000,2160,1852
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,4000000,2403,1667
Plot/Land for Sale in Thimmapur Hyderabad,Thimmapur Hyderabad,4000000,1800,2222
Plot/Land for Sale in green fields Hyderabad,green fields Hyderabad,1200000,1089,1102
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,7500000,4203,1784
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,18000000,5400,3333
"Plot/Land for Sale in Miyapur, NH 9 Hyderabad",Miyapur,9000000,2700,3333
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2800000,1485,1886
"Plot/Land for Sale in Vikrampuri, Secunderabad Hyderabad",Vikrampuri,4900000,3528,1389
Plot/Land for Sale in Turkayamjal Hyderabad,Turkayamjal Hyderabad,22000000,3600,6111
"Plot/Land for Sale in Bongloor, Outer Ring Road Hyderabad",Bongloor,7300000,2628,2778
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2500000,1485,1667
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,65000000,45000,1444
Plot/Land for Sale in Bhuvanagiri Nalgonda Road Hyderabad,Bhuvanagiri Nalgonda Road Hyderabad,73600000,41400,1778
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,13600000,4383,3111
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,12000000,1050,11429
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,4000000,2160,1852
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,2700000,1503,1778
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3300000,1800,1833
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3200000,1800,1778
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,10500000,2700,3889
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,12000000,5400,2222
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1500000,1350,1111
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2600000,1647,1556
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,6400000,2400,2670
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,2000000,1800,1111
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,7000000,1575,4444
Plot/Land for Sale in Dabilpur Hyderabad,Dabilpur Hyderabad,9600000,4806,1998
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,13900000,5220,2667
Plot/Land for Sale in Amangal Hyderabad,Amangal Hyderabad,2400000,1800,1333
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,2600000,1503,1730
Plot/Land for Sale in Chevella Hyderabad,Chevella Hyderabad,22500000,6975,3222
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,3000000,1800,1667
Plot/Land for Sale in Railway Colony Alwal Hyderabad,Railway Colony Alwal Hyderabad,20200000,3960,5111
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,12000000,1440,8333
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,2500000,2196,1138
"Plot/Land for Sale in Mangalpalle, Outer Ring Road Hyderabad",Mangalpalle,5500000,1350,4074
Plot/Land for Sale in Janwada Hyderabad,Janwada Hyderabad,4500000,1098,4098
Plot/Land for Sale in Alkapuri Hyderabad,Alkapuri Hyderabad,8100000,2700,3000
Plot/Land for Sale in Burgul Hyderabad,Burgul Hyderabad,2500000,1656,1510
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,16000000,4500,3556
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,3600000,1800,2000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,3700000,1503,2462
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,4000000,1800,2222
Plot/Land for Sale in Gundlapochampalli Hyderabad,Gundlapochampalli Hyderabad,15000000,2403,6242
Plot/Land for Sale in Dammaiguda Hyderabad,Dammaiguda Hyderabad,12900000,4653,2778
Plot/Land for Sale in Mahadevpur Colony Hyderabad,Mahadevpur Colony Hyderabad,9300000,1800,5167
Plot/Land for Sale in Bandlaguda Jagir Hyderabad,Bandlaguda Jagir Hyderabad,10200000,1080,9444
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,6300000,2160,2917
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,12000000,5400,2222
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,6500000,1323,4913
Plot/Land for Sale in Musheerabad Hyderabad,Musheerabad Hyderabad,12500000,640,19531
Plot/Land for Sale in Kalyanpur Hyderabad,Kalyanpur Hyderabad,5000000,720,6944
Plot/Land for Sale in Gudimalkapur Hyderabad,Gudimalkapur Hyderabad,2800000,1647,1700
Plot/Land for Sale in near yadadri temple Hyderabad,near yadadri temple Hyderabad,2200000,1980,1111
Plot/Land for Sale in Gudur Hyderabad,Gudur Hyderabad,7000000,3150,2222
Plot/Land for Sale in Kothur Rangareddy Hyderabad,Kothur Rangareddy Hyderabad,3300000,1980,1667
"Plot/Land for Sale in Pedso 1, Secunderabad Hyderabad",Pedso 1,18500000,2700,6852
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,2700000,1503,1778
Plot/Land for Sale in Choutuppal Hyderabad,Choutuppal Hyderabad,2600000,1350,1926
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,5000000,2178,2296
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,13900000,1800,7722
Plot/Land for Sale in Bhanur Hyderabad,Bhanur Hyderabad,15300000,5400,2833
Plot/Land for Sale in Amangal Hyderabad,Amangal Hyderabad,3200000,2394,1337
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,3200000,1800,1778
Plot/Land for Sale in j group Hyderabad,j group Hyderabad,2800000,1647,1700
Plot/Land for Sale in Kothur Rangareddy Hyderabad,Kothur Rangareddy Hyderabad,2800000,1485,1886
Plot/Land for Sale in Chengicherla Hyderabad,Chengicherla Hyderabad,10600000,1944,5436
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4900000,2133,2297
Plot/Land for Sale in Farooqnagar Hyderabad,Farooqnagar Hyderabad,45000000,9000,5000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,2400000,1800,1333
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,4200000,1500,2767
Plot/Land for Sale in Kallakal Hyderabad,Kallakal Hyderabad,4000000,1800,2222
Plot/Land for Sale in Badangpet Hyderabad,Badangpet Hyderabad,6000000,1647,3643
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,4000000,1800,2222
Plot/Land for Sale in Ramoji Film City Main Road Hyderabad,Ramoji Film City Main Road Hyderabad,1500000,1350,1111
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3500000,1647,2131
Plot/Land for Sale in Balanagar Hyderabad,Balanagar Hyderabad,7300000,3150,2333
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,3300000,1755,1889
Plot/Land for Sale in Choutuppal Hyderabad,Choutuppal Hyderabad,3400000,1350,2519
Plot/Land for Sale in Inole Hyderabad,Inole Hyderabad,18000000,8460,2128
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,8500000,900,9444
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,25000000,9000,2778
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,4500000,2403,1873
Plot/Land for Sale in Pulumamidi Hyderabad,Pulumamidi Hyderabad,2600000,1503,1763
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,11000000,5670,1940
Plot/Land for Sale in Chinna Mangalaram Hyderabad,Chinna Mangalaram Hyderabad,9500000,4500,2111
Plot/Land for Sale in Shamshabad Mamidipally Road Hyderabad,Shamshabad Mamidipally Road Hyderabad,10500000,2700,3889
Plot/Land for Sale in Kandwada Hyderabad,Kandwada Hyderabad,3600000,3600,1000
Plot/Land for Sale in Burgul Hyderabad,Burgul Hyderabad,1300000,1323,1020
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2500000,1323,1890
"Plot/Land for Sale in JB's Nature Valley, Choutuppal Gundrampalli Hyderabad",JB's Nature Valley,3600000,2700,1333
Plot/Land for Sale in RCI Road Hyderabad,RCI Road Hyderabad,12800000,3600,3556
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,24700000,1350,18333
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,17000000,1722,9900
Plot/Land for Sale in Kalvakurti Road Hyderabad,Kalvakurti Road Hyderabad,1400000,1080,1333
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,4200000,1500,2800
Plot/Land for Sale in P Anantharam Hyderabad,P Anantharam Hyderabad,3200000,1800,1778
Plot/Land for Sale in Qutubullapur Hyderabad,Qutubullapur Hyderabad,35000000,2400,14583
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1800000,1350,1333
Plot/Land for Sale in Manneguda Hyderabad,Manneguda Hyderabad,5500000,1980,2778
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,2400000,1800,1333
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,3600000,1350,2667
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,7200000,2250,3222
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,5900000,1647,3582
Plot/Land for Sale in Tarur Hyderabad,Tarur Hyderabad,9000000,2394,3759
"Plot/Land for Sale in Peerzadiguda, NH 2 2 Hyderabad",Peerzadiguda,8400000,1503,5589
Plot/Land for Sale in Lalgadi Malakpet Hyderabad,Lalgadi Malakpet Hyderabad,35000000,10490,3335
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,15000000,2034,7375
Plot/Land for Sale in Bachuguda Hyderabad,Bachuguda Hyderabad,4800000,1800,2667
Plot/Land for Sale in Thimmapur Jagdevpur Hyderabad,Thimmapur Jagdevpur Hyderabad,1500000,1350,1111
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,10000000,6732,1485
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,1700000,1647,1002
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1400000,1320,1061
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,5000000,1800,2778
Plot/Land for Sale in Velmala Hyderabad,Velmala Hyderabad,18000000,3600,5000
Plot/Land for Sale in Turkapally Hyderabad,Turkapally Hyderabad,2600000,2160,1204
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,3600000,1503,2395
Plot/Land for Sale in Dream City Bharat Future City Hyderabad,Dream City Bharat Future City Hyderabad,2600000,1323,1944
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,3100000,2178,1444
Plot/Land for Sale in Mokila Hyderabad,Mokila Hyderabad,16000000,2403,6667
Plot/Land for Sale in Nadigada Tanda Hyderabad,Nadigada Tanda Hyderabad,40000000,2196,18215
"Plot/Land for Sale in Kollur, Outer Ring Road Hyderabad",Kollur,9000000,1998,4505
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,2200000,1503,1444
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,4000000,1800,2222
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2200000,1620,1333
Plot/Land for Sale in Vikarabad Road Hyderabad,Vikarabad Road Hyderabad,5000000,2160,2315
Plot/Land for Sale in Bhanur Hyderabad,Bhanur Hyderabad,24300000,8001,3037
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,5800000,2160,2667
Plot/Land for Sale in Gudoor Hyderabad,Gudoor Hyderabad,4800000,2403,2000
Plot/Land for Sale in Mallapur Balapur Hyderabad,Mallapur Balapur Hyderabad,5400000,1620,3333
Plot/Land for Sale in TNGOS Colony Hyderabad,TNGOS Colony Hyderabad,25000000,1503,16633
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1500000,1350,1111
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,12200000,1800,6790
Plot/Land for Sale in Upperpally Hyderabad,Upperpally Hyderabad,33900000,3213,10556
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,5400000,3600,1500
Plot/Land for Sale in Bachupally Hyderabad,Bachupally Hyderabad,10100000,5670,1778
"Plot/Land for Sale in Dundigal, Outer Ring Road Hyderabad",Dundigal,6600000,1800,3667
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,4000000,2250,1778
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,9000000,4788,1880
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,3800000,1503,2556
Plot/Land for Sale in Ibrahimpatnam Road Hyderabad,Ibrahimpatnam Road Hyderabad,1600000,1485,1057
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,3300000,1494,2236
"Plot/Land for Sale in Patancheru Industrial Area, Outer Ring Road Hyderabad",Patancheru Industrial Area,17500000,2200,7955
Plot/Land for Sale in Almasguda Hyderabad,Almasguda Hyderabad,9900000,2349,4222
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,4200000,1647,2550
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,4800000,1800,2667
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,12000000,1800,6667
"Plot/Land for Sale in Vanasthalipuram, NH 9 Hyderabad",Vanasthalipuram,8400000,1800,4689
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,33500000,3870,8667
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,5000000,2394,2089
"Plot/Land for Sale in Hayat Nagar, Rajendra Nagar, Outer Ring Road Hyderabad",Hayat Nagar,2000000,1944,1029
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,1800000,1503,1224
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,3000000,1116,2688
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,8200000,2475,3313
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,11000000,3150,3492
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,3000000,2178,1377
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,2600000,1323,1944
Plot/Land for Sale in Gayatri Enclave Hyderabad,Gayatri Enclave Hyderabad,11500000,1638,7021
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1000000,900,1111
Plot/Land for Sale in Warasiguda Hyderabad,Warasiguda Hyderabad,12000000,1224,9804
"Plot/Land for Sale in Injapur, Neeladri Nagar, Ibrahimpatnam Road Hyderabad",Injapur,4000000,1377,2905
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,7600000,1800,4222
Plot/Land for Sale in Diamond Point Hyderabad,Diamond Point Hyderabad,37500000,2106,17806
"Plot/Land for Sale in Abdullapurmet, Outer Ring Road Hyderabad",Abdullapurmet,3000000,1440,2083
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,10000000,1080,9259
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,15000000,9000,1667
"Plot/Land for Sale in Maheswaram Lines, Chandrayangutta, Srisailam Highway Hyderabad",Maheswaram Lines,4700000,2997,1568
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,5000000,1350,3704
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1600000,1485,1077
Plot/Land for Sale in janachaitanya sai anurag colony bachupally Hyderabad,janachaitanya sai anurag colony bachupally Hyderabad,10200000,1440,7111
"Plot/Land for Sale in Midhani huda colony, opp to word and deed school Hyderabad",Midhani huda colony,15000000,2403,6242
Plot/Land for Sale in Ankushapur Hyderabad,Ankushapur Hyderabad,3200000,1800,1778
Plot/Land for Sale in Chevella Hyderabad,Chevella Hyderabad,11000000,10890,1010
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,18000000,5400,3333
Plot/Land for Sale in Chilkur Pragati Yenkapalli Road Hyderabad,Chilkur Pragati Yenkapalli Road Hyderabad,15600000,5625,2778
Plot/Land for Sale in Taramatipet Hyderabad,Taramatipet Hyderabad,3800000,1674,2270
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,3000000,1500,2000
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,3000000,1800,1667
Plot/Land for Sale in Tupran Hyderabad,Tupran Hyderabad,2800000,1503,1863
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,25200000,1800,14000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,4500000,1719,2618
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,5900000,1980,3000
"Plot/Land for Sale in Gandi Maisamma, Outer Ring Road Hyderabad",Gandi Maisamma,65000000,7560,8598
"Plot/Land for Sale in Boduppal, NH 2 2 Hyderabad",Boduppal,14000000,1800,7778
Plot/Land for Sale in Tupran Hyderabad,Tupran Hyderabad,12000000,3600,3333
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,3200000,1800,1778
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,31200000,4320,7222
Plot/Land for Sale in Bachupally Hyderabad,Bachupally Hyderabad,20000000,2250,8889
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,12000000,7623,1574
"Plot/Land for Sale in Dundigal, Outer Ring Road Hyderabad",Dundigal,9500000,3024,3142
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,26800000,2412,11111
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1900000,1323,1444
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,53400000,20034,2667
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,13000000,9783,1333
Plot/Land for Sale in Parvathapur Hyderabad,Parvathapur Hyderabad,15000000,1800,8333
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,4500000,2700,1667
Plot/Land for Sale in Rangareddy Hyderabad,Rangareddy Hyderabad,33300000,10800,3083
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,3500000,1836,1906
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,4000000,2250,1778
Plot/Land for Sale in Mansanpally Hyderabad,Mansanpally Hyderabad,4800000,1647,2889
"Plot/Land for Sale in Farook Nagar, Vattepally Hyderabad",Farook Nagar,4200000,3780,1111
Plot/Land for Sale in Rajendranagar Mandal Hyderabad,Rajendranagar Mandal Hyderabad,19800000,1980,10000
Plot/Land for Sale in Kawadipally Hyderabad,Kawadipally Hyderabad,12000000,3600,3333
Plot/Land for Sale in Raikal Hyderabad,Raikal Hyderabad,3000000,1809,1658
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,3400000,2160,1556
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,15000000,4500,3333
Plot/Land for Sale in Farooqnagar Hyderabad,Farooqnagar Hyderabad,3500000,2880,1215
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,12000000,4356,2755
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,13900000,4185,3333
Plot/Land for Sale in Teachers Colony Anantharam Rural Hyderabad,Teachers Colony Anantharam Rural Hyderabad,3500000,1800,1944
Plot/Land for Sale in Jbs Europhoria city Hyderabad,Jbs Europhoria city Hyderabad,5800000,1800,3222
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,3500000,2070,1700
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,16000000,5400,2963
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,6000000,2700,2222
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,21600000,1200,18000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1400000,1323,1058
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1900000,1800,1056
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,6400000,1800,3556
"Plot/Land for Sale in Muppas Panchavati Colony, Manikonda, Outer Ring Road Hyderabad",Muppas Panchavati Colony,40000000,2475,16162
Plot/Land for Sale in ECIL Hyderabad,ECIL Hyderabad,3000000,1000,3000
"Plot/Land for Sale in Sai Priya Colony, Secunderabad Hyderabad",Sai Priya Colony,7600000,1503,5057
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,18500000,5679,3258
Plot/Land for Sale in Athvelly Hyderabad,Athvelly Hyderabad,3000000,1197,2506
Plot/Land for Sale in kassavi e city Hyderabad,kassavi e city Hyderabad,4900000,1800,2722
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1800000,1350,1300
Plot/Land for Sale in Farooqnagar Hyderabad,Farooqnagar Hyderabad,8000000,2700,2963
"Plot/Land for Sale in Vanasthalipuram, Hyderabad Hyderabad",Vanasthalipuram,3800000,1400,2714
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,8000000,3600,2222
Plot/Land for Sale in Shadnagar Road Hyderabad,Shadnagar Road Hyderabad,1600000,1314,1218
Plot/Land for Sale in Nagole Hyderabad,Nagole Hyderabad,12800000,2556,5000
Plot/Land for Sale in Raigiri Hyderabad,Raigiri Hyderabad,5000000,2700,1852
Plot/Land for Sale in Reddipally Rangareddy Hyderabad,Reddipally Rangareddy Hyderabad,46500000,26136,1778
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,21500000,2403,8947
Plot/Land for Sale in Tupran Hyderabad,Tupran Hyderabad,3000000,1350,2222
"Plot/Land for Sale in Mangalpalle, Outer Ring Road Hyderabad",Mangalpalle,20000000,4500,4444
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,6800000,1800,3778
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2500000,1350,1852
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,13000000,1000,13000
Plot/Land for Sale in Kongar Khurd A Hyderabad,Kongar Khurd A Hyderabad,4500000,1350,3333
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2700000,1323,2055
Plot/Land for Sale in Indiranagar Colony Aushapur Hyderabad,Indiranagar Colony Aushapur Hyderabad,6000000,3006,2000
"Plot/Land for Sale in TMR Enclave, Meerpet Hyderabad",TMR Enclave,1800000,1350,1333
Plot/Land for Sale in cheriyal village Hyderabad,cheriyal village Hyderabad,11600000,3150,3667
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2200000,1323,1667
Plot/Land for Sale in CHATTANPALLY Hyderabad,CHATTANPALLY Hyderabad,4300000,1620,2667
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,10000000,2205,4535
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3600000,1323,2721
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,3900000,1800,2139
Plot/Land for Sale in Chilkoor Hyderabad,Chilkoor Hyderabad,35000000,9000,3889
Plot/Land for Sale in Medchal Pudur Shamirpet Road Hyderabad,Medchal Pudur Shamirpet Road Hyderabad,3700000,1647,2222
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,9200000,1800,5111
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,8200000,1503,5456
"Plot/Land for Sale in Turkapalli, Secunderabad, Medchal Road Hyderabad",Turkapalli,2500000,1782,1403
Plot/Land for Sale in Kamma Guda Hyderabad,Kamma Guda Hyderabad,7500000,1908,3931
Plot/Land for Sale in Edulabad Hyderabad,Edulabad Hyderabad,3100000,1800,1722
Plot/Land for Sale in Padmashali Society Hyderabad,Padmashali Society Hyderabad,17000000,1440,11806
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,4500000,2052,2193
