property_title,locality,price_per_sqft,plot_area_sqft,dimensions,ownership,approval_authority,facing,gated_community,rounded_price_rs
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,3400,1647,10.6 X 156,Freehold,DTCP,,No,5600000
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,1010,1485,,,DTCP,,Yes,1500000
Plot/Land for Sale in Digwal Hyderabad,Digwal Hyderabad,1778,1800,72 X 25,,,,Yes,3200000
Plot/Land for Sale in Agapally Hyderabad,Agapally Hyderabad,2222,1800,,,HMDA,,Yes,4000000
Plot/Land for Sale in Mangalpally Hyderabad,Mangalpally Hyderabad,2083,7200,2400 X 2400,Freehold,,East,No,15000000
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,4222,2700,45 X 60,,,,Yes,11400000
Plot/Land for Sale in Machanpalle Shabad Hyderabad,Machanpalle Shabad Hyderabad,3000,2700,15 X 180,Freehold,HMDA,East,No,8100000
"Plot/Land for Sale in Manasa Hills, Rajendra Nagar Hyderabad",Manasa Hills,10000,2700,60 X 45,Freehold,,,Yes,27000000
Plot/Land for Sale in sulthanpur jntu Hyderabad,sulthanpur jntu Hyderabad,1889,1323,99 X 120,,,,Yes,2500000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1263,1980,165 X 108,Freehold,DTCP,,Yes,2500000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1333,4500,,,,,Yes,6000000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,1556,1800,135 X 120,,DTCP,,Yes,2800000
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,1333,1350,,,DTCP,East,No,1800000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,1667,1620,114 X 14.2,Freehold,,East,No,2700000
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,2667,1350,,,HMDA,,Yes,3600000
Plot/Land for Sale in Gundlapochampalli Hyderabad,Gundlapochampalli Hyderabad,6296,1350,,Freehold,HMDA,East,No,8500000
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,7580,2124,17.7 X 120,Freehold,,,Yes,16100000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2002,1998,,,,,Yes,4000000
Plot/Land for Sale in Toopranpet Hyderabad,Toopranpet Hyderabad,1128,2394,,,,,Yes,2700000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,1944,3600,,Freehold,HMDA,,Yes,7000000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1537,2277,,,,,Yes,3500000
Plot/Land for Sale in Turkayamjal Hyderabad,Turkayamjal Hyderabad,3885,1467,102 X 14.4,Freehold,HMDA,,Yes,5700000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1667,1800,,,HMDA,,Yes,3000000
Plot/Land for Sale in Mirkhanpet Hyderabad,Mirkhanpet Hyderabad,1944,1800,135 X 13.3,Freehold,DTCP,East,No,3500000
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,5111,1800,180 X 9.99,,,,Yes,9200000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2125,1647,33 X 49.9,Freehold,HMDA,,Yes,3500000
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,1111,1350,,,,,Yes,1500000
Plot/Land for Sale in Agapally Hyderabad,Agapally Hyderabad,2111,1800,,,HMDA,,Yes,3800000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2333,1350,,,HMDA,,Yes,3100000
Plot/Land for Sale in Keesara Daira Hyderabad,Keesara Daira Hyderabad,2778,2340,180 X 117,Freehold,HMDA,,Yes,6500000
Plot/Land for Sale in Gachibowli Hyderabad,Gachibowli Hyderabad,5227,3420,150 X 22.8,Freehold,HMDA,West,Yes,17900000
Plot/Land for Sale in Hitech City Hyderabad,Hitech City Hyderabad,27781,4499,50 X 90,,,,Yes,125000000
Plot/Land for Sale in Rajendranagar Mandal Hyderabad,Rajendranagar Mandal Hyderabad,18333,3375,120 X 28.1,Freehold,GHMC,,Yes,61900000
Plot/Land for Sale in Dr Raos Prakruthivanam Hyderabad,Dr Raos Prakruthivanam Hyderabad,1210,1818,,,HMDA,,Yes,2200000
Plot/Land for Sale in Sheriguda Hyderabad,Sheriguda Hyderabad,2778,1350,45 X 30,Freehold,HMDA,,Yes,3800000
Plot/Land for Sale in Tirumalagiri Hyderabad,Tirumalagiri Hyderabad,10472,3600,,Freehold,GHMC,,Yes,37700000
"Plot/Land for Sale in Kokapet, Outer Ring Road Hyderabad",Kokapet,18333,4518,270 X 16.7,Freehold,HMDA,,Yes,82800000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2148,1350,90 X 15,Freehold,DTCP,,Yes,2900000
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,3889,1800,108 X 16.7,Freehold,HMDA,,Yes,7000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1058,1320,20 X 66,Freehold,,,Yes,1400000
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,3077,1170,30 X 39,,HMDA,,Yes,3600000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,2194,1800,42 X 42.9,Freehold,HMDA,,Yes,3900000
Plot/Land for Sale in Lemoor Hyderabad,Lemoor Hyderabad,2167,3375,66 X 51,Freehold,,,Yes,7300000
Plot/Land for Sale in Kundanpally Hyderabad,Kundanpally Hyderabad,3111,7200,72 X 100,Freehold,,East,No,22400000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2020,1485,,Freehold,DTCP,East,No,3000000
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,10370,2700,45 X 60,Freehold,,East,No,28000000
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,1333,1800,30 X 60,Freehold,HMDA,East,No,2400000
Plot/Land for Sale in Mokila Hyderabad,Mokila Hyderabad,11111,1998,120 X 16.6,Freehold,HMDA,East,No,22200000
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,6667,2367,42 X 56.4,Freehold,HMDA,,Yes,15800000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2192,1323,,,DTCP,,Yes,2900000
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,3889,1800,,,,,Yes,7000000
Plot/Land for Sale in Korremula Hyderabad,Korremula Hyderabad,4444,1467,,Freehold,GHMC,,Yes,6500000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,11364,220,,,,,Yes,2500000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2778,1800,108 X 150,Freehold,HMDA,East,No,5000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,4667,2700,60 X 45,Freehold,HMDA,,Yes,12600000
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,2111,4500,,,,,Yes,9500000
Plot/Land for Sale in Rajendra Nagar Road Hyderabad,Rajendra Nagar Road Hyderabad,12778,900,150 X 54,,HMDA,,Yes,11500000
Plot/Land for Sale in Warangal Highway Hyderabad,Warangal Highway Hyderabad,1019,1080,,,DTCP,,Yes,1100000
Plot/Land for Sale in Cheeriyal Hyderabad,Cheeriyal Hyderabad,4050,2403,60 X 40,Freehold,HMDA,East,No,9700000
Plot/Land for Sale in Chengicherla Hyderabad,Chengicherla Hyderabad,3667,900,45 X 20,Freehold,GHMC,West,Yes,3300000
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,2045,1467,90 X 180,Freehold,DTCP,,No,3000000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,3556,5418,55 X 98.5,,,,Yes,19300000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,2222,2700,,Freehold,,,Yes,6000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2556,1350,,Freehold,HMDA,East,No,3500000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2222,4500,90 X 50,,,,Yes,10000000
Plot/Land for Sale in Karkalpahad Hyderabad,Karkalpahad Hyderabad,1222,1350,93 X 14.5,Freehold,,,Yes,1600000
Plot/Land for Sale in Lemoor Hyderabad,Lemoor Hyderabad,2142,3735,,Freehold,HMDA,East,No,8000000
Plot/Land for Sale in Meerkhanpet Hyderabad,Meerkhanpet Hyderabad,1665,2403,60 X 40,Freehold,HMDA,East,No,4000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2222,2394,798 X 3,Freehold,DTCP,,Yes,5300000
Plot/Land for Sale in Thimmaipalli Hyderabad,Thimmaipalli Hyderabad,2564,11700,,Freehold,HMDA,,Yes,30000000
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,3286,2313,60 X 38.55,Freehold,HMDA,East,No,7600000
"Plot/Land for Sale in Sun City, Bandlaguda, Chevella Road Hyderabad",Sun City,2007,2700,18 X 150,,,,Yes,5400000
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,2500,1800,,,HMDA,,Yes,4500000
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,1836,4707,240 X 1962,Freehold,HMDA,,Yes,8600000
Plot/Land for Sale in Pedda Amberpet Hyderabad,Pedda Amberpet Hyderabad,2509,3627,66 X 54.95,Freehold,,,Yes,9100000
Plot/Land for Sale in Pasumamla Hyderabad,Pasumamla Hyderabad,2513,1512,,Freehold,DTCP,,Yes,3800000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1673,1674,,,,,Yes,2800000
Plot/Land for Sale in Jubilee Hills Hyderabad,Jubilee Hills Hyderabad,3889,45000,,,,,Yes,175000000
Plot/Land for Sale in Chitkul Road Hyderabad,Chitkul Road Hyderabad,4321,1458,150 X 90,,DTCP,,Yes,6300000
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,3056,1800,180 X 90,Freehold,HMDA,,Yes,5500000
Plot/Land for Sale in Masaniguda Hyderabad,Masaniguda Hyderabad,1222,1800,12 X 150,,,East,No,2200000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,1346,1575,,,,,Yes,2100000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1389,1503,,Freehold,HMDA,East,No,2100000
Plot/Land for Sale in Mangalpally Hyderabad,Mangalpally Hyderabad,2000,1800,,,,,Yes,3600000
Plot/Land for Sale in Chanda Nagar Hyderabad,Chanda Nagar Hyderabad,17182,2619,120 X 21.8,Freehold,GHMC,,Yes,45000000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2889,1800,108 X 150,Freehold,HMDA,East,No,5200000
Plot/Land for Sale in Ameenpur Hyderabad,Ameenpur Hyderabad,8110,2466,58.7 X 42,Freehold,,,Yes,20000000
"Plot/Land for Sale in Banjara Hills, NH 9 Hyderabad",Banjara Hills,5556,36000,,,GHMC,,Yes,200000000
Plot/Land for Sale in Nehru Outer Ring Road Hyderabad,Nehru Outer Ring Road Hyderabad,1198,1503,,,,,Yes,1800000
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,4259,540,,,,,Yes,2300000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2778,2340,90 X 26,,,,Yes,6500000
Plot/Land for Sale in Maisigandi Hyderabad,Maisigandi Hyderabad,1481,1485,,Freehold,DTCP,East,No,2200000
Plot/Land for Sale in Narkhuda Hyderabad,Narkhuda Hyderabad,2222,4500,75 X 60,Freehold,,East,No,10000000
Plot/Land for Sale in Prakruthik Vihar Hyderabad,Prakruthik Vihar Hyderabad,6236,1764,16.3 X 108,Freehold,,East,No,11000000
Plot/Land for Sale in Nalthur Hyderabad,Nalthur Hyderabad,3000,3375,45 X 75,Freehold,,East,No,10100000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2078,1251,150 X 8.34,Freehold,HMDA,East,No,2600000
"Plot/Land for Sale in Yadamma Nagar, Secunderabad Hyderabad",Yadamma Nagar,10404,2403,60 X 40,,,,Yes,25000000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,3333,1800,168 X 108,Freehold,HMDA,East,No,6000000
"Plot/Land for Sale in Green Park, Jeedimetla, NH 7 Hyderabad",Green Park,3097,2196,,Freehold,HMDA,,Yes,6800000
Plot/Land for Sale in Edulabad Hyderabad,Edulabad Hyderabad,2644,2160,180 X 108,,,,Yes,5700000
Plot/Land for Sale in Mekaguda Hyderabad,Mekaguda Hyderabad,1778,1800,45.7 X 39.4,,,,Yes,3200000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,1667,18000,,Freehold,,East,No,30000000
Plot/Land for Sale in Bachupally Hyderabad,Bachupally Hyderabad,6111,2700,600 X 450,Freehold,HMDA,East,No,16500000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1778,1800,,,,,Yes,3200000
Plot/Land for Sale in Bhavya shree homes Hyderabad,Bhavya shree homes Hyderabad,2828,1503,,,,,Yes,4300000
Plot/Land for Sale in MJ Colony Hyderabad,MJ Colony Hyderabad,7547,2385,,Freehold,GHMC,,Yes,18000000
Plot/Land for Sale in Balapur Hyderabad,Balapur Hyderabad,2667,1539,,,,,Yes,4100000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,1907,5400,,,,,Yes,10300000
Plot/Land for Sale in Kundanpally Hyderabad,Kundanpally Hyderabad,3057,10210,85 X 120,Freehold,,East,No,31200000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2095,1647,,Freehold,DTCP,,No,3500000
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,3667,1503,240 X 6,Freehold,HMDA,,Yes,5500000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,5556,36000,1500 X 600,Freehold,GHMC,,Yes,200000000
Plot/Land for Sale in Peddamangalaram Hyderabad,Peddamangalaram Hyderabad,2222,5445,60 X 90,Freehold,,East,No,12100000
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,1667,9000,60.81 X 148,,,,Yes,15000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2157,1854,,,GHMC,,Yes,4000000
Plot/Land for Sale in Muraharipally Hyderabad,Muraharipally Hyderabad,3333,1800,9.99 X 180,,,,Yes,6000000
Plot/Land for Sale in Burgul Hyderabad,Burgul Hyderabad,1667,1485,15 X 99,Freehold,,,Yes,2500000
Plot/Land for Sale in Shadnagar Chevella Road Hyderabad,Shadnagar Chevella Road Hyderabad,1389,1440,,,,,Yes,2000000
Plot/Land for Sale in Zahirabad Hyderabad,Zahirabad Hyderabad,1333,1800,60 X 30,Freehold,,,Yes,2400000
Plot/Land for Sale in Narepally Hyderabad,Narepally Hyderabad,4554,2196,120 X 165,,HMDA,,Yes,10000000
Plot/Land for Sale in manasa valley rajendra nagar budvel 500030 Hyderabad,manasa valley rajendra nagar budvel 500030 Hyderabad,8333,9000,270 X 300,,GHMC,,Yes,75000000
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,3922,3825,28.3 X 135,,,,Yes,15000000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2116,1323,,Freehold,DTCP,East,No,2800000
Plot/Land for Sale in subhagruha sukrithi samyuktha2 Hyderabad,subhagruha sukrithi samyuktha2 Hyderabad,1973,1647,99 X 150,,DTCP,,Yes,3200000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,16854,267,4.45 X 60,Freehold,DTCP,East,No,4500000
Plot/Land for Sale in Hastinapuram Hyderabad,Hastinapuram Hyderabad,10533,2250,40.9 X 55,,,,Yes,23700000
Plot/Land for Sale in Kodicherla Hyderabad,Kodicherla Hyderabad,1085,11980,333 X 36,Freehold,HMDA,East,No,13000000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,1639,1647,,Freehold,DTCP,East,No,2700000
Plot/Land for Sale in Turkayamjal Hyderabad,Turkayamjal Hyderabad,9025,2493,,Freehold,,,Yes,22500000
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,8482,2358,195 X 108,Freehold,GHMC,,Yes,20000000
Plot/Land for Sale in Rajendranagar Mandal Hyderabad,Rajendranagar Mandal Hyderabad,16667,3753,75 X 50,Freehold,,,Yes,62600000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1583,1800,,Freehold,HMDA,East,No,2800000
"Plot/Land for Sale in Miyapur, NH 9 Hyderabad",Miyapur,5556,36000,1500 X 900,Freehold,GHMC,,Yes,200000000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,5556,54000,1500 X 900,Freehold,HMDA,,Yes,300000000
Plot/Land for Sale in Lakdaram Hyderabad,Lakdaram Hyderabad,4778,3735,37.2 X 100,,,,Yes,17800000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,20000,500,,Freehold,HMDA,East,No,10000000
Plot/Land for Sale in Kallakal Hyderabad,Kallakal Hyderabad,2000,4500,270 X 16.7,Freehold,DTCP,East,No,9000000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,4444,5400,,,,,Yes,24000000
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,2503,4995,,Freehold,,East,No,12500000
Plot/Land for Sale in Rampally Hyderabad,Rampally Hyderabad,4040,2475,,,GHMC,,Yes,10000000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,2755,2178,45 X 48.4,Freehold,HMDA,East,No,6000000
Plot/Land for Sale in Bachupally Hyderabad,Bachupally Hyderabad,11111,3000,50 X 60,Freehold,HMDA,,Yes,33300000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1392,3951,,,,East,No,5500000
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,4508,3150,70 X 45,Freehold,,,Yes,14200000
"Plot/Land for Sale in Saket, Secunderabad Hyderabad",Saket,8670,2601,195 X 120,Freehold,GHMC,,Yes,22600000
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,3333,1782,18 X 99,Freehold,HMDA,East,No,5900000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1833,2700,,,DTCP,,Yes,4900000
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,3009,2160,,,,,Yes,6500000
"Plot/Land for Sale in Bbg True Gold 2 Phase 7, Shadnagar, Hyderabad Hyderabad",Bbg True Gold 2 Phase 7,1297,1773,,,,,Yes,2300000
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,1778,9000,30 X 300,,,,Yes,16000000
Plot/Land for Sale in Balapur Hyderabad,Balapur Hyderabad,4000,1350,,,GHMC,,Yes,5400000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1331,3267,,Freehold,DTCP,,Yes,4300000
"Plot/Land for Sale in Dundigal, Outer Ring Road Hyderabad",Dundigal,3953,2403,,Freehold,,West,Yes,9500000
"Plot/Land for Sale in Fortune Farm Valley Maheshwaram, Hyderabad Hyderabad",Fortune Farm Valley Maheshwaram,1333,40500,,,,,Yes,54000000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,3540,2034,51.49 X 39.5,,,,Yes,7200000
Plot/Land for Sale in Dammaiguda Hyderabad,Dammaiguda Hyderabad,4167,1800,50 X 36,Freehold,GHMC,,Yes,7500000
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,9444,1800,,,,,Yes,17000000
Plot/Land for Sale in Raghavapuram Bibinagar Hyderabad,Raghavapuram Bibinagar Hyderabad,1203,2079,17.1 X 122,,,,Yes,2500000
Plot/Land for Sale in Mallapur Hyderabad,Mallapur Hyderabad,3574,1332,123 X 96,Freehold,GHMC,,Yes,4800000
Plot/Land for Sale in aduri golden heights health village Hyderabad,aduri golden heights health village Hyderabad,1756,2700,,Freehold,GHMC,,Yes,4700000
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,3111,1836,108 X 17,Freehold,HMDA,East,No,5700000
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,3612,2547,50 X 51,Freehold,HMDA,,Yes,9200000
Plot/Land for Sale in Harshaguda Hyderabad,Harshaguda Hyderabad,4084,3159,44.9 X 70.3,Freehold,HMDA,,Yes,12900000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1555,1350,98.9 X 13.7,Freehold,DTCP,East,Yes,2100000
Plot/Land for Sale in Turkapally Hyderabad,Turkapally Hyderabad,2444,1800,36 X 50,Freehold,HMDA,East,No,4400000
