property_title,locality,price_per_sqft,plot_area_sqft,dimensions,ownership,approval_authority,facing,gated_community,rounded_price_rs
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,18333,1350,,Freehold,DTCP,East,No,24700000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,9900,1722,208 X 72,,,East,No,17000000
Plot/Land for Sale in Kalvakurti Road Hyderabad,Kalvakurti Road Hyderabad,1333,1080,,,,,Yes,1400000
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,2800,1500,,,,,Yes,4200000
Plot/Land for Sale in P Anantharam Hyderabad,P Anantharam Hyderabad,1778,1800,90 X 20,,,,Yes,3200000
Plot/Land for Sale in Qutubullapur Hyderabad,Qutubullapur Hyderabad,14583,2400,61.5 X 39,Freehold,,,Yes,35000000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1333,1350,45 X 30,Freehold,DTCP,,Yes,1800000
Plot/Land for Sale in Manneguda Hyderabad,Manneguda Hyderabad,2778,1980,32 X 61.88,Freehold,HMDA,,Yes,5500000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1333,1800,60 X 30,Freehold,,East,Yes,2400000
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,2667,1350,15 X 90,Freehold,HMDA,East,Yes,3600000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,3222,2250,75 X 30,Freehold,HMDA,,Yes,7200000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,3582,1647,45 X 36.6,Freehold,HMDA,East,Yes,5900000
Plot/Land for Sale in Tarur Hyderabad,Tarur Hyderabad,3759,2394,,Freehold,HMDA,East,No,9000000
"Plot/Land for Sale in Peerzadiguda, NH 2 2 Hyderabad",Peerzadiguda,5589,1503,,,GHMC,,Yes,8400000
Plot/Land for Sale in Lalgadi Malakpet Hyderabad,Lalgadi Malakpet Hyderabad,3335,10490,46.6 X 225,Freehold,HMDA,East,No,35000000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,7375,2034,,,GHMC,,Yes,15000000
Plot/Land for Sale in Bachuguda Hyderabad,Bachuguda Hyderabad,2667,1800,,,,,Yes,4800000
Plot/Land for Sale in Thimmapur Jagdevpur Hyderabad,Thimmapur Jagdevpur Hyderabad,1111,1350,144 X 939,Freehold,DTCP,,Yes,1500000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1485,6732,,Freehold,DTCP,East,No,10000000
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,1002,1647,49.9 X 33,Freehold,,,Yes,1700000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1061,1320,40 X 33,,,,Yes,1400000
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,2778,1800,135 X 120,Freehold,HMDA,,Yes,5000000
Plot/Land for Sale in Velmala Hyderabad,Velmala Hyderabad,5000,3600,,Freehold,HMDA,,Yes,18000000
Plot/Land for Sale in Turkapally Hyderabad,Turkapally Hyderabad,1204,2160,180 X 12,Freehold,HMDA,East,No,2600000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2395,1503,150 X 90,,HMDA,,Yes,3600000
Plot/Land for Sale in Dream City Bharat Future City Hyderabad,Dream City Bharat Future City Hyderabad,1944,1323,99 X 135,Freehold,DTCP,East,No,2600000
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,1444,2178,135 X 16.1,Freehold,HMDA,East,No,3100000
Plot/Land for Sale in Mokila Hyderabad,Mokila Hyderabad,6667,2403,20 X 120,,HMDA,East,No,16000000
Plot/Land for Sale in Nadigada Tanda Hyderabad,Nadigada Tanda Hyderabad,18215,2196,120 X 18.3,Freehold,HMDA,East,Yes,40000000
"Plot/Land for Sale in Kollur, Outer Ring Road Hyderabad",Kollur,4505,1998,,Freehold,HMDA,East,No,9000000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1444,1503,,Freehold,DTCP,East,No,2200000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2222,1800,108 X 16.7,Freehold,HMDA,,Yes,4000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1333,1620,45 X 36,Freehold,DTCP,East,No,2200000
Plot/Land for Sale in Vikarabad Road Hyderabad,Vikarabad Road Hyderabad,2315,2160,36 X 60,Freehold,,East,No,5000000
Plot/Land for Sale in Bhanur Hyderabad,Bhanur Hyderabad,3037,8001,114 X 70,Freehold,,North,Yes,24300000
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,2667,2160,,Freehold,HMDA,East,No,5800000
Plot/Land for Sale in Gudoor Hyderabad,Gudoor Hyderabad,2000,2403,,Freehold,HMDA,,Yes,4800000
Plot/Land for Sale in Mallapur Balapur Hyderabad,Mallapur Balapur Hyderabad,3333,1620,150 X 10.8,Freehold,,,Yes,5400000
Plot/Land for Sale in TNGOS Colony Hyderabad,TNGOS Colony Hyderabad,16633,1503,150 X 9.99,,,,Yes,25000000
Plot/Land for Sale in Shantinagar Colony Hyderabad,Shantinagar Colony Hyderabad,24603,6300,33.3 X 189,Freehold,HMDA,,Yes,155000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1111,1350,54 X 25,Freehold,HMDA,,Yes,1500000
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,6790,1800,90 X 180,Freehold,GHMC,East,No,12200000
"Plot/Land for Sale in Tanasha Nagar, Outer Ring Road Hyderabad",Tanasha Nagar,27778,9000,110 X 81.82,Freehold,HMDA,,Yes,250000000
Plot/Land for Sale in Upperpally Hyderabad,Upperpally Hyderabad,10556,3213,,,HMDA,,Yes,33900000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,1500,3600,48 X 75,Freehold,,East,No,5400000
Plot/Land for Sale in Bachupally Hyderabad,Bachupally Hyderabad,1778,5670,,,,,Yes,10100000
"Plot/Land for Sale in Dundigal, Outer Ring Road Hyderabad",Dundigal,3667,1800,,,HMDA,,Yes,6600000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,16667,27,,,,,Yes,500000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,1778,2250,,Freehold,HMDA,East,No,4000000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1880,4788,75 X 63.8,,,,Yes,9000000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,2556,1503,55.8 X 26.9,Freehold,HMDA,East,No,3800000
Plot/Land for Sale in Ibrahimpatnam Road Hyderabad,Ibrahimpatnam Road Hyderabad,1057,1485,99 X 15,,,,Yes,1600000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,2236,1494,50 X 30,Freehold,,East,No,3300000
"Plot/Land for Sale in Patancheru Industrial Area, Outer Ring Road Hyderabad",Patancheru Industrial Area,7955,2200,55 X 40,,,,Yes,17500000
Plot/Land for Sale in Almasguda Hyderabad,Almasguda Hyderabad,4222,2349,40.6 X 57.9,Freehold,,,Yes,9900000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2550,1647,,Freehold,,,Yes,4200000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2667,1800,,,,,Yes,4800000
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,6667,1800,,,,,Yes,12000000
"Plot/Land for Sale in Vanasthalipuram, NH 9 Hyderabad",Vanasthalipuram,4689,1800,,,,,Yes,8400000
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,8667,3870,192 X 177,,GHMC,East,No,33500000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,1667,1800,,,,,Yes,3000000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,2089,2394,,,,,Yes,5000000
"Plot/Land for Sale in Hayat Nagar, Rajendra Nagar, Outer Ring Road Hyderabad",Hayat Nagar,1029,1944,,,,,Yes,2000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,1224,1503,,,,,Yes,1800000
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,2688,1116,,,,,Yes,3000000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3313,2475,240 X 90,Freehold,HMDA,East,No,8200000
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,3492,3150,225 X 14,Freehold,HMDA,East,No,11000000
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,1377,2178,,,,,Yes,3000000
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,1944,1323,,,,,Yes,2600000
Plot/Land for Sale in Gayatri Enclave Hyderabad,Gayatri Enclave Hyderabad,7021,1638,,Freehold,HMDA,,Yes,11500000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1111,900,,,,,Yes,1000000
Plot/Land for Sale in Warasiguda Hyderabad,Warasiguda Hyderabad,9804,1224,,,,,Yes,12000000
"Plot/Land for Sale in Injapur, Neeladri Nagar, Ibrahimpatnam Road Hyderabad",Injapur,2905,1377,13.1 X 105,,HMDA,East,No,4000000
Plot/Land for Sale in Vempuguda Hyderabad,Vempuguda Hyderabad,40602,266,,,,,Yes,10800000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,4222,1800,13.3 X 135,,,,Yes,7600000
Plot/Land for Sale in Diamond Point Hyderabad,Diamond Point Hyderabad,17806,2106,,,,,Yes,37500000
"Plot/Land for Sale in Abdullapurmet, Outer Ring Road Hyderabad",Abdullapurmet,2083,1440,,,,,Yes,3000000
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,9259,1080,,,,,Yes,10000000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,1667,9000,,,,,Yes,15000000
"Plot/Land for Sale in Maheswaram Lines, Chandrayangutta, Srisailam Highway Hyderabad",Maheswaram Lines,1568,2997,,,,,Yes,4700000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,3704,1350,,,,,Yes,5000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1077,1485,,,,,Yes,1600000
Plot/Land for Sale in janachaitanya sai anurag colony bachupally Hyderabad,janachaitanya sai anurag colony bachupally Hyderabad,7111,1440,480 X 480,,,,Yes,10200000
"Plot/Land for Sale in Midhani huda colony, opp to word and deed school Hyderabad",Midhani huda colony,6242,2403,,,,,Yes,15000000
Plot/Land for Sale in Ankushapur Hyderabad,Ankushapur Hyderabad,1778,1800,90 X 20,,HMDA,,Yes,3200000
Plot/Land for Sale in Chevella Hyderabad,Chevella Hyderabad,1010,10890,,Freehold,HMDA,East,No,11000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,3333,5400,,,,,Yes,18000000
Plot/Land for Sale in Chilkur Pragati Yenkapalli Road Hyderabad,Chilkur Pragati Yenkapalli Road Hyderabad,2778,5625,75 X 75,,,,Yes,15600000
Plot/Land for Sale in Taramatipet Hyderabad,Taramatipet Hyderabad,2270,1674,,Freehold,HMDA,East,No,3800000
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,2000,1500,,,,,Yes,3000000
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,1667,1800,,Freehold,,East,No,3000000
Plot/Land for Sale in Tupran Hyderabad,Tupran Hyderabad,1863,1503,,Freehold,HMDA,,Yes,2800000
Plot/Land for Sale in Auto Sainagar Colony Hyderabad,Auto Sainagar Colony Hyderabad,110000,220,6.11 X 36,,,,Yes,24200000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,14000,1800,,,,,Yes,25200000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2618,1719,,,,,Yes,4500000
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,3000,1980,,,,,Yes,5900000
"Plot/Land for Sale in Gandi Maisamma, Outer Ring Road Hyderabad",Gandi Maisamma,8598,7560,,,,,Yes,65000000
"Plot/Land for Sale in Boduppal, NH 2 2 Hyderabad",Boduppal,7778,1800,12 X 150,Freehold,,,No,14000000
Plot/Land for Sale in Tupran Hyderabad,Tupran Hyderabad,3333,3600,,,,,Yes,12000000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,1778,1800,,,,,Yes,3200000
Plot/Land for Sale in Chegur Hyderabad,Chegur Hyderabad,1111,4500,,,,,Yes,5000000
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,7222,4320,,,,,Yes,31200000
Plot/Land for Sale in Bachupally Hyderabad,Bachupally Hyderabad,8889,2250,25 X 90,Freehold,,,Yes,20000000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,1574,7623,2541 X 150,,,,Yes,12000000
"Plot/Land for Sale in Dundigal, Outer Ring Road Hyderabad",Dundigal,3142,3024,231 X 120,Freehold,HMDA,,Yes,9500000
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,11111,2412,,,,,Yes,26800000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1444,1323,,,,,Yes,1900000
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,2667,20034,167.01 X 119.96,,,,Yes,53400000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,1333,9783,,,,,Yes,13000000
Plot/Land for Sale in Parvathapur Hyderabad,Parvathapur Hyderabad,8333,1800,108 X 150,,HMDA,,Yes,15000000
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,1667,2700,,,,,Yes,4500000
Plot/Land for Sale in Rangareddy Hyderabad,Rangareddy Hyderabad,3083,10800,90 X 120,Freehold,,,Yes,33300000
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,1906,1836,,,HMDA,,Yes,3500000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,1778,2250,90 X 225,,,,Yes,4000000
Plot/Land for Sale in Mansanpally Hyderabad,Mansanpally Hyderabad,2889,1647,,,,,Yes,4800000
"Plot/Land for Sale in Farook Nagar, Vattepally Hyderabad",Farook Nagar,1111,3780,,Freehold,,,Yes,4200000
Plot/Land for Sale in Rajendranagar Mandal Hyderabad,Rajendranagar Mandal Hyderabad,10000,1980,,,,,Yes,19800000
Plot/Land for Sale in Kawadipally Hyderabad,Kawadipally Hyderabad,3333,3600,180 X 180,Freehold,,East,No,12000000
Plot/Land for Sale in Nagole Hyderabad,Nagole Hyderabad,97378,267,,,,,Yes,26000000
Plot/Land for Sale in Raikal Hyderabad,Raikal Hyderabad,1658,1809,,,DTCP,,Yes,3000000
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,1556,2160,,,,,Yes,3400000
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,3333,4500,,Freehold,,East,No,15000000
Plot/Land for Sale in Farooqnagar Hyderabad,Farooqnagar Hyderabad,1215,2880,192 X 135,,,,Yes,3500000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,2755,4356,,,,,Yes,12000000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,3333,4185,,,,,Yes,13900000
Plot/Land for Sale in Teachers Colony Anantharam Rural Hyderabad,Teachers Colony Anantharam Rural Hyderabad,1944,1800,,,,,Yes,3500000
Plot/Land for Sale in Jbs Europhoria city Hyderabad,Jbs Europhoria city Hyderabad,3222,1800,,,HMDA,,Yes,5800000
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,1700,2070,,,,,Yes,3500000
Plot/Land for Sale in Rajendranagar Mandal Hyderabad,Rajendranagar Mandal Hyderabad,14815,13500,90 X 150,,,,Yes,200000000
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,2963,5400,90 X 60,Freehold,HMDA,,Yes,16000000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,2222,2700,,Freehold,,,Yes,6000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,18000,1200,120 X 90,,HMDA,,Yes,21600000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1058,1323,,,,,Yes,1400000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1056,1800,,,,,Yes,1900000
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,3556,1800,,,HMDA,,Yes,6400000
"Plot/Land for Sale in Muppas Panchavati Colony, Manikonda, Outer Ring Road Hyderabad",Muppas Panchavati Colony,16162,2475,,Freehold,,East,No,40000000
Plot/Land for Sale in ECIL Hyderabad,ECIL Hyderabad,3000,1000,,,,,Yes,3000000
"Plot/Land for Sale in Sai Priya Colony, Secunderabad Hyderabad",Sai Priya Colony,5057,1503,45 X 33.4,,,,Yes,7600000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,3258,5679,30.1 X 189,Freehold,,,No,18500000
Plot/Land for Sale in Athvelly Hyderabad,Athvelly Hyderabad,2506,1197,,Freehold,HMDA,East,No,3000000
Plot/Land for Sale in kassavi e city Hyderabad,kassavi e city Hyderabad,2722,1800,150 X 108,Freehold,,,Yes,4900000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1300,1350,,,,,Yes,1800000
Plot/Land for Sale in Farooqnagar Hyderabad,Farooqnagar Hyderabad,2963,2700,45 X 60,,,,Yes,8000000
"Plot/Land for Sale in Vanasthalipuram, Hyderabad Hyderabad",Vanasthalipuram,2714,1400,,,,,Yes,3800000
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,2222,3600,,,,,Yes,8000000
Plot/Land for Sale in Shadnagar Road Hyderabad,Shadnagar Road Hyderabad,1218,1314,,,,,Yes,1600000
Plot/Land for Sale in Nagole Hyderabad,Nagole Hyderabad,5000,2556,,,,,Yes,12800000
Plot/Land for Sale in Raigiri Hyderabad,Raigiri Hyderabad,1852,2700,,,,,Yes,5000000
Plot/Land for Sale in Reddipally Rangareddy Hyderabad,Reddipally Rangareddy Hyderabad,1778,26136,137.56 X 190,,,,Yes,46500000
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,8947,2403,60 X 40,,,,Yes,21500000
Plot/Land for Sale in Tupran Hyderabad,Tupran Hyderabad,2222,1350,150 X 150,Freehold,HMDA,East,No,3000000
"Plot/Land for Sale in Mangalpalle, Outer Ring Road Hyderabad",Mangalpalle,4444,4500,270 X 150,,,,Yes,20000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3778,1800,,,,,Yes,6800000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1852,1350,,,DTCP,,Yes,2500000
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,13000,1000,,,,,Yes,13000000
Plot/Land for Sale in Kongar Khurd A Hyderabad,Kongar Khurd A Hyderabad,3333,1350,135 X 90,,HMDA,,Yes,4500000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2055,1323,120 X 11,,DTCP,East,No,2700000
Plot/Land for Sale in Indiranagar Colony Aushapur Hyderabad,Indiranagar Colony Aushapur Hyderabad,2000,3006,30 X 100,,,,Yes,6000000
"Plot/Land for Sale in TMR Enclave, Meerpet Hyderabad",TMR Enclave,1333,1350,,,,,Yes,1800000
Plot/Land for Sale in cheriyal village Hyderabad,cheriyal village Hyderabad,3667,3150,210 X 135,,HMDA,,Yes,11600000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,1667,1323,,,,,Yes,2200000
Plot/Land for Sale in CHATTANPALLY Hyderabad,CHATTANPALLY Hyderabad,2667,1620,,,,,Yes,4300000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,4535,2205,,,,,Yes,10000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2721,1323,99 X 13.3,,,,Yes,3600000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,2139,1800,,,,,Yes,3900000
Plot/Land for Sale in Chilkoor Hyderabad,Chilkoor Hyderabad,3889,9000,99 X 90.9,Freehold,,,Yes,35000000
Plot/Land for Sale in Medchal Pudur Shamirpet Road Hyderabad,Medchal Pudur Shamirpet Road Hyderabad,2222,1647,99 X 150,,HMDA,,Yes,3700000
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,5111,1800,,,,,Yes,9200000
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,5456,1503,50.1 X 30,Freehold,,East,No,8200000
"Plot/Land for Sale in Turkapalli, Secunderabad, Medchal Road Hyderabad",Turkapalli,1403,1782,15.6 X 114,,,,Yes,2500000
Plot/Land for Sale in Kamma Guda Hyderabad,Kamma Guda Hyderabad,3931,1908,3 X 636,,,,Yes,7500000
Plot/Land for Sale in Edulabad Hyderabad,Edulabad Hyderabad,1722,1800,180 X 9.99,,,,Yes,3100000
Plot/Land for Sale in Padmashali Society Hyderabad,Padmashali Society Hyderabad,11806,1440,144 X 90,Freehold,HMDA,,Yes,17000000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2193,2052,,,,,Yes,4500000
